id_cliente,nombre,apellido,email,telefono,fecha_nac,sexo,provincia,ciudad
1,Elena,Fernández,elena.fernandez5054@gmail.com,1195101638,1972-12-05,Femenino,CABA,Belgrano
2,Juan,López,juan.lopez4222@gmail.com,1153944212,1962-07-07,Masculino,Entre Ríos,Concordia
3,Micaela,García,micaela.garcia7966@gmail.com,1194169278,1966-07-08,Femenino,Santiago del Estero,Sgo. del Estero Capital
4,Valentina,Gutiérrez,valentina.gutierrez6332@gmail.com,1120906046,1996-07-06,Femenino,Entre Ríos,Concordia
5,Julieta,García,julieta.garcia9450@gmail.com,1189876996,1948-08-17,Femenino,Río Negro,Bariloche
6,Camila,Alonso,camila.alonso7732@gmail.com,1160103084,2007-03-01,Femenino,Córdoba,Carlos Paz
7,Elena,Rodríguez,elena.rodriguez7103@gmail.com,1159721375,1960-02-24,Femenino,Chaco,Resistencia
8,Diego,Fernández,diego.fernandez4809@gmail.com,1128149256,1944-08-10,Masculino,Salta,Salta Capital
9,Lucas,Sánchez,lucas.sanchez2899@gmail.com,1111357537,1976-02-15,Masculino,Santa Fe,Venado Tuerto
10,Lucas,Álvarez,lucas.alvarez320@gmail.com,1112693855,1993-02-27,Masculino,Buenos Aires,San Isidro
11,Micaela,García,micaela.garcia8468@gmail.com,1141859846,1963-07-03,Femenino,Formosa,Formosa Capital
12,Ana,Pérez,ana.perez9396@gmail.com,1143440167,1949-01-23,Femenino,Córdoba,Villa María
13,Luis,Gutiérrez,luis.gutierrez343@gmail.com,1116940098,1949-01-07,Masculino,Jujuy,San Salvador de Jujuy
14,Mateo,Fernández,mateo.fernandez2710@gmail.com,1183891450,1972-05-25,Masculino,Buenos Aires,Bahía Blanca
15,Julieta,López,julieta.lopez9313@gmail.com,1179745562,2003-01-16,Femenino,Salta,Orán
16,Carlos,Gutiérrez,carlos.gutierrez4161@gmail.com,1194808902,1985-11-05,Masculino,Formosa,Formosa Capital
17,Lucas,Alonso,lucas.alonso1091@gmail.com,1136397274,1977-08-11,Masculino,Jujuy,San Salvador de Jujuy
18,Matías,García,matias.garcia4625@gmail.com,1199653620,2005-08-08,Masculino,Entre Ríos,Concordia
19,Luis,Pérez,luis.perez1418@gmail.com,1116324128,1988-11-08,Masculino,Formosa,Formosa Capital
20,Felipe,Gómez,felipe.gomez1560@gmail.com,1153839203,1972-04-10,Masculino,Buenos Aires,San Isidro
21,Lucas,Gómez,lucas.gomez121@gmail.com,1176500046,2001-05-05,Masculino,CABA,Recoleta
22,Joaquín,Álvarez,joaquin.alvarez740@gmail.com,1186807780,1969-08-10,Masculino,Córdoba,Río Cuarto
23,Catalina,Alonso,catalina.alonso6254@gmail.com,1190135100,1982-06-25,Femenino,Buenos Aires,Lanús
24,Mateo,Pérez,mateo.perez2685@gmail.com,1152238226,1987-03-12,Masculino,Buenos Aires,Lanús
25,Juan,Romero,juan.romero4667@gmail.com,1166768487,1973-05-22,Masculino,Buenos Aires,San Isidro
26,María,Torres,maria.torres6700@gmail.com,1156818699,1968-05-02,Femenino,Misiones,Eldorado
27,Florencia,Rodríguez,florencia.rodriguez4926@gmail.com,1151264201,1969-05-14,Femenino,Río Negro,Bariloche
28,Camila,Martínez,camila.martinez9641@gmail.com,1163766922,1960-11-14,Femenino,San Juan,San Juan Capital
29,José,Rodríguez,jose.rodriguez119@gmail.com,1194775565,1964-04-01,Masculino,Córdoba,Villa María
